n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,binom_5_05,PAR,0.05,0,0,0,0.04,0.03,0.03
20,4x3,binom_5_05,RNK,0.05,0,0,0,0.03,0.02,0.03
20,4x3,binom_5_05,ART,0.05,0,0,0,0.26,0.23,0.28
20,4x3,binom_5_05,INT,0.05,0,0,0,0.04,0.03,0.03
20,4x3,binom_5_05,PAR,0.01,0,0,0,0.02,0.01,0
20,4x3,binom_5_05,RNK,0.01,0,0,0,0,0.01,0
20,4x3,binom_5_05,ART,0.01,0,0,0,0.18,0.14,0.12
20,4x3,binom_5_05,INT,0.01,0,0,0,0.02,0.01,0
20,4x3,binom_5_10,PAR,0.05,0,0,0,0.06,0.05,0.05
20,4x3,binom_5_10,RNK,0.05,0,0,0,0.05,0.06,0.05
20,4x3,binom_5_10,ART,0.05,0,0,0,0.15,0.18,0.13
20,4x3,binom_5_10,INT,0.05,0,0,0,0.05,0.06,0.05
20,4x3,binom_5_10,PAR,0.01,0,0,0,0.02,0.02,0.01
20,4x3,binom_5_10,RNK,0.01,0,0,0,0.02,0.01,0.03
20,4x3,binom_5_10,ART,0.01,0,0,0,0.07,0.07,0.03
20,4x3,binom_5_10,INT,0.01,0,0,0,0.02,0.02,0.03
20,4x3,binom_5_20,PAR,0.05,0,0,0,0.07,0.01,0.03
20,4x3,binom_5_20,RNK,0.05,0,0,0,0.08,0.03,0.04
20,4x3,binom_5_20,ART,0.05,0,0,0,0.09,0.05,0.07
20,4x3,binom_5_20,INT,0.05,0,0,0,0.07,0.03,0.04
20,4x3,binom_5_20,PAR,0.01,0,0,0,0.02,0,0.01
20,4x3,binom_5_20,RNK,0.01,0,0,0,0.02,0,0.01
20,4x3,binom_5_20,ART,0.01,0,0,0,0.03,0,0
20,4x3,binom_5_20,INT,0.01,0,0,0,0.02,0,0.01
20,4x3,binom_10_05,PAR,0.05,0,0,0,0.07,0.05,0.07
20,4x3,binom_10_05,RNK,0.05,0,0,0,0.05,0.07,0.06
20,4x3,binom_10_05,ART,0.05,0,0,0,0.06,0.14,0.09
20,4x3,binom_10_05,INT,0.05,0,0,0,0.07,0.05,0.06
20,4x3,binom_10_05,PAR,0.01,0,0,0,0.01,0,0.01
20,4x3,binom_10_05,RNK,0.01,0,0,0,0.01,0,0.01
20,4x3,binom_10_05,ART,0.01,0,0,0,0.01,0.05,0.03
20,4x3,binom_10_05,INT,0.01,0,0,0,0.01,0,0.01
20,4x3,binom_10_10,PAR,0.05,0,0,0,0.03,0.05,0.03
20,4x3,binom_10_10,RNK,0.05,0,0,0,0.03,0.07,0.04
20,4x3,binom_10_10,ART,0.05,0,0,0,0.06,0.12,0.05
20,4x3,binom_10_10,INT,0.05,0,0,0,0.04,0.06,0.03
20,4x3,binom_10_10,PAR,0.01,0,0,0,0.01,0,0
20,4x3,binom_10_10,RNK,0.01,0,0,0,0.01,0,0.01
20,4x3,binom_10_10,ART,0.01,0,0,0,0,0.02,0.01
20,4x3,binom_10_10,INT,0.01,0,0,0,0.01,0,0.01
20,4x3,binom_10_20,PAR,0.05,0,0,0,0.06,0.05,0.03
20,4x3,binom_10_20,RNK,0.05,0,0,0,0.07,0.06,0.03
20,4x3,binom_10_20,ART,0.05,0,0,0,0.1,0.08,0.02
20,4x3,binom_10_20,INT,0.05,0,0,0,0.05,0.04,0.02
20,4x3,binom_10_20,PAR,0.01,0,0,0,0.03,0.01,0.01
20,4x3,binom_10_20,RNK,0.01,0,0,0,0.03,0,0.01
20,4x3,binom_10_20,ART,0.01,0,0,0,0.02,0,0.02
20,4x3,binom_10_20,INT,0.01,0,0,0,0.03,0,0.01
20,2x3,binom_5_05,PAR,0.05,0,0,0,0.07,0.03,0.04
20,2x3,binom_5_05,RNK,0.05,0,0,0,0.08,0.03,0.04
20,2x3,binom_5_05,ART,0.05,0,0,0,0.28,0.04,0.09
20,2x3,binom_5_05,INT,0.05,0,0,0,0.09,0.03,0.03
20,2x3,binom_5_05,PAR,0.01,0,0,0,0.02,0.01,0.02
20,2x3,binom_5_05,RNK,0.01,0,0,0,0.02,0.01,0
20,2x3,binom_5_05,ART,0.01,0,0,0,0.08,0.01,0.03
20,2x3,binom_5_05,INT,0.01,0,0,0,0.02,0.01,0.02
20,2x3,binom_5_10,PAR,0.05,0,0,0,0.08,0.02,0.07
20,2x3,binom_5_10,RNK,0.05,0,0,0,0.09,0.03,0.06
20,2x3,binom_5_10,ART,0.05,0,0,0,0.17,0.05,0.11
20,2x3,binom_5_10,INT,0.05,0,0,0,0.07,0.03,0.06
20,2x3,binom_5_10,PAR,0.01,0,0,0,0.02,0.01,0.03
20,2x3,binom_5_10,RNK,0.01,0,0,0,0.02,0.01,0.03
20,2x3,binom_5_10,ART,0.01,0,0,0,0.12,0.01,0.06
20,2x3,binom_5_10,INT,0.01,0,0,0,0.02,0.01,0.03
20,2x3,binom_5_20,PAR,0.05,0,0,0,0.1,0.04,0.04
20,2x3,binom_5_20,RNK,0.05,0,0,0,0.08,0.03,0.06
20,2x3,binom_5_20,ART,0.05,0,0,0,0.1,0.04,0.06
20,2x3,binom_5_20,INT,0.05,0,0,0,0.09,0.04,0.04
20,2x3,binom_5_20,PAR,0.01,0,0,0,0.03,0,0.03
20,2x3,binom_5_20,RNK,0.01,0,0,0,0.03,0,0.03
20,2x3,binom_5_20,ART,0.01,0,0,0,0.01,0.01,0.02
20,2x3,binom_5_20,INT,0.01,0,0,0,0.03,0,0.03
20,2x3,binom_10_05,PAR,0.05,0,0,0,0.04,0.07,0.05
20,2x3,binom_10_05,RNK,0.05,0,0,0,0.02,0.09,0.04
20,2x3,binom_10_05,ART,0.05,0,0,0,0.21,0.08,0.1
20,2x3,binom_10_05,INT,0.05,0,0,0,0.04,0.09,0.05
20,2x3,binom_10_05,PAR,0.01,0,0,0,0.02,0,0.01
20,2x3,binom_10_05,RNK,0.01,0,0,0,0.02,0,0.01
20,2x3,binom_10_05,ART,0.01,0,0,0,0.08,0.01,0.02
20,2x3,binom_10_05,INT,0.01,0,0,0,0.02,0.01,0.01
20,2x3,binom_10_10,PAR,0.05,0,0,0,0.05,0.05,0.07
20,2x3,binom_10_10,RNK,0.05,0,0,0,0.05,0.07,0.08
20,2x3,binom_10_10,ART,0.05,0,0,0,0.11,0.07,0.05
20,2x3,binom_10_10,INT,0.05,0,0,0,0.07,0.06,0.08
20,2x3,binom_10_10,PAR,0.01,0,0,0,0.01,0.01,0.03
20,2x3,binom_10_10,RNK,0.01,0,0,0,0.01,0.01,0
20,2x3,binom_10_10,ART,0.01,0,0,0,0.02,0.01,0.03
20,2x3,binom_10_10,INT,0.01,0,0,0,0.01,0.01,0.01
20,2x3,binom_10_20,PAR,0.05,0,0,0,0.02,0.03,0.07
20,2x3,binom_10_20,RNK,0.05,0,0,0,0.01,0.05,0.06
20,2x3,binom_10_20,ART,0.05,0,0,0,0.06,0.04,0.06
20,2x3,binom_10_20,INT,0.05,0,0,0,0.02,0.04,0.07
20,2x3,binom_10_20,PAR,0.01,0,0,0,0,0,0.01
20,2x3,binom_10_20,RNK,0.01,0,0,0,0,0,0.01
20,2x3,binom_10_20,ART,0.01,0,0,0,0,0,0.01
20,2x3,binom_10_20,INT,0.01,0,0,0,0,0,0.01
20,2x4,binom_5_05,PAR,0.05,0,0,0,0.05,0.03,0.05
20,2x4,binom_5_05,RNK,0.05,0,0,0,0.05,0.07,0.04
20,2x4,binom_5_05,ART,0.05,0,0,0,0.22,0.09,0.15
20,2x4,binom_5_05,INT,0.05,0,0,0,0.04,0.04,0.05
20,2x4,binom_5_05,PAR,0.01,0,0,0,0,0.01,0.01
20,2x4,binom_5_05,RNK,0.01,0,0,0,0.01,0.01,0
20,2x4,binom_5_05,ART,0.01,0,0,0,0.11,0.02,0.09
20,2x4,binom_5_05,INT,0.01,0,0,0,0.01,0.01,0.01
20,2x4,binom_5_10,PAR,0.05,0,0,0,0.11,0.04,0.03
20,2x4,binom_5_10,RNK,0.05,0,0,0,0.06,0.03,0.04
20,2x4,binom_5_10,ART,0.05,0,0,0,0.12,0.02,0.06
20,2x4,binom_5_10,INT,0.05,0,0,0,0.08,0.04,0.02
20,2x4,binom_5_10,PAR,0.01,0,0,0,0.03,0.01,0
20,2x4,binom_5_10,RNK,0.01,0,0,0,0.02,0.01,0
20,2x4,binom_5_10,ART,0.01,0,0,0,0.05,0,0.01
20,2x4,binom_5_10,INT,0.01,0,0,0,0.03,0.01,0
20,2x4,binom_5_20,PAR,0.05,0,0,0,0.07,0.02,0.02
20,2x4,binom_5_20,RNK,0.05,0,0,0,0.08,0.02,0.02
20,2x4,binom_5_20,ART,0.05,0,0,0,0.08,0.02,0.06
20,2x4,binom_5_20,INT,0.05,0,0,0,0.06,0.02,0.02
20,2x4,binom_5_20,PAR,0.01,0,0,0,0.01,0,0
20,2x4,binom_5_20,RNK,0.01,0,0,0,0.01,0,0
20,2x4,binom_5_20,ART,0.01,0,0,0,0.02,0,0.01
20,2x4,binom_5_20,INT,0.01,0,0,0,0.01,0,0
20,2x4,binom_10_05,PAR,0.05,0,0,0,0.05,0.02,0.05
20,2x4,binom_10_05,RNK,0.05,0,0,0,0.06,0.03,0.03
20,2x4,binom_10_05,ART,0.05,0,0,0,0.12,0.04,0.07
20,2x4,binom_10_05,INT,0.05,0,0,0,0.05,0.02,0.05
20,2x4,binom_10_05,PAR,0.01,0,0,0,0.02,0,0.01
20,2x4,binom_10_05,RNK,0.01,0,0,0,0.02,0,0.01
20,2x4,binom_10_05,ART,0.01,0,0,0,0.06,0.01,0.03
20,2x4,binom_10_05,INT,0.01,0,0,0,0.02,0,0.01
20,2x4,binom_10_10,PAR,0.05,0,0,0,0.05,0.05,0.04
20,2x4,binom_10_10,RNK,0.05,0,0,0,0.05,0.07,0.04
20,2x4,binom_10_10,ART,0.05,0,0,0,0.07,0.08,0.07
20,2x4,binom_10_10,INT,0.05,0,0,0,0.06,0.05,0.04
20,2x4,binom_10_10,PAR,0.01,0,0,0,0.01,0.01,0.01
20,2x4,binom_10_10,RNK,0.01,0,0,0,0.01,0.01,0
20,2x4,binom_10_10,ART,0.01,0,0,0,0.02,0.01,0.02
20,2x4,binom_10_10,INT,0.01,0,0,0,0.01,0.01,0.01
20,2x4,binom_10_20,PAR,0.05,0,0,0,0.1,0.08,0.04
20,2x4,binom_10_20,RNK,0.05,0,0,0,0.07,0.07,0.05
20,2x4,binom_10_20,ART,0.05,0,0,0,0.08,0.08,0.06
20,2x4,binom_10_20,INT,0.05,0,0,0,0.07,0.09,0.04
20,2x4,binom_10_20,PAR,0.01,0,0,0,0.01,0.04,0.01
20,2x4,binom_10_20,RNK,0.01,0,0,0,0,0.05,0.01
20,2x4,binom_10_20,ART,0.01,0,0,0,0.01,0.04,0.01
20,2x4,binom_10_20,INT,0.01,0,0,0,0.01,0.04,0.01
